headline,abstract,pub date,original,person rank,keywords,lead paragraph,news desk,section name,type of material
N.Y. Today: A Mother’s Death in the Subway,The death in a Midtown station that has no elevator could be a crystallizing moment for a decades-old problem.,2019-01-30T11:22:55+0000,By Azi Paybarah,1,"['New York City', 'AMERICANS WITH DISABILITIES ACT', 'Metropolitan Transportation Authority', 'Brooklyn (NYC)', 'Transit Systems', 'Elevators and Escalators']", [Want to get New York Today by email? Here's the sign-up.],Metro,New York,briefing
DealBook Briefing: Hoping to Bridge the Gap in Trade Talks,"Beijing and Washington have reasons to seek progress in negotiations, but the sides are still far apart.",2019-01-30T11:37:03+0000,,2,"['United States Politics and Government', 'United States Economy', 'United States International Relations', 'International Trade and World Market', 'Apple Inc', 'Pacific Gas and Electric Co', 'Trump, Donald J']",Good Wednesday morning. Want this by email? Sign up here.,Business,Business Day,News
Colbert on the Polar Vortex: ‘Viral Marketing for “Game of Thrones” Has Gone Too Far’,Stephen Colbert took a break from Trump-bashing to make a few jokes about the cold front hitting the U.S.,2019-01-30T12:19:18+0000,By Giovanni Russonello,1,"['Colbert, Stephen', 'Fallon, Jimmy', 'Kimmel, Jimmy', 'Meyers, Seth', 'Schultz, Howard D', 'Trump, Donald J', 'Late Night with Seth Meyers (TV Program)', 'Late Show with Stephen Colbert (TV Program)', 'The Tonight Show (TV Program)']","Welcome to Best of Late Night, a rundown of the previous night’s highlights that lets you sleep — and lets us get paid to watch comedy. If you’re interested in hearing from The Times regularly about great TV, sign up for our Watching newsletter and get recommendations straight to your inbox.",Culture,Arts,News
"Alibaba, an Icon of China’s Growth, Now Reflects Its Slowdown","The e-commerce giant posted numbers that pale in comparison to earlier surging figures, a sign of the country’s economic slowdown.",2019-01-30T12:24:06+0000,By Paul Mozur,1,"['Alibaba Group Holding Ltd', 'China', 'Economic Conditions and Trends', 'E-Commerce', 'Computers and the Internet', 'ADVERTISING AND MARKETING', 'Tsai, Joseph C']","SHANGHAI — Alibaba became one of the world’s biggest internet companies thanks to the growing wealth and online shopping habits of Chinese consumers. Now, as China’s economy slows, it has become a symbol of their new sense of caution.",Business,Business Day,News
Carlos Ghosn Says He’s the Victim of ‘Plot and Treason’ by Rivals at Nissan,The embattled auto executive told Nikkei Asian Review that leaders at the company had sought to have him removed because of his plans to “integrate” further with Renault and Mitsubishi Motors.,2019-01-30T12:36:03+0000,By Motoko Rich,1,"['Ghosn, Carlos', 'Securities and Commodities Violations', 'Nissan Motor Co', 'Renault SA', 'Mitsubishi Corporation', 'Japan', 'Saikawa, Hiroto', 'Nada, Hari', 'Nikkei Asian Review']","TOKYO — Carlos Ghosn, the embattled auto executive indicted on charges of financial wrongdoing, says he was the victim of “plot and treason” by other Nissan leaders who wanted to thwart his plans to bring the automaker closer to its alliance partners, Renault of France and Mitsubishi Motors of Japan.",Business,Business Day,News
Who Are You Wearing and Where Did They Donate?,Celebrity fashion culture may be here to stay. That doesn’t mean the red carpet can’t do some greater good.,2019-01-30T12:59:40+0000,By Vanessa Friedman,1,"['RAD (Red Carpet Advocacy)', 'Phillips, Arianne', 'Martin, Carineh', 'Philanthropy', 'Fashion and Apparel', 'Celebrities', 'Golden Globes (Awards)', 'Academy Awards (Oscars)', 'ADVERTISING AND MARKETING', 'your-feed-fashion']","Arianne Phillips, the Oscar-nominated costume designer who became a public name thanks to her work with Madonna, hit her long dark night of the red carpet soul a few years ago.",Styles,Fashion & Style,News
Trump Calls Intelligence Officials ‘Naive’ After They Contradict Him,"“Perhaps Intelligence should go back to school,” the president said a day after his intelligence chiefs disagreed with his assessments on Iran, North Korea and other national security threats.",2019-01-30T13:26:07+0000,By Eileen Sullivan,2,"['United States International Relations', 'Terrorism', 'Islamic State in Iraq and Syria (ISIS)', 'Coats, Dan', 'Kim Jong-un', 'McConnell, Mitch', 'Trump, Donald J', 'Syria', 'North Korea', 'AFGHANISTAN', 'United States Defense and Military Forces']","WASHINGTON — President Trump pushed back on Wednesday against his intelligence chiefs’ national security assessments, saying that “the Intelligence people seem to be extremely passive and naive when it comes to the dangers of Iran,” and defended his own, more positive appraisals of the threats North Korea and the Islamic State pose to the United States.",Washington,U.S.,News
The Medicare-for-All Trap,Most issues will strongly favor the Democrats in 2020. Taking away people’s health insurance is an exception.,2019-01-30T13:51:35+0000,By David Leonhardt,1,"['Health Insurance and Managed Care', 'Medicare', 'United States Politics and Government', 'Presidential Election of 2020', 'Polls and Public Opinion', 'Democratic Party', 'Republican Party', 'Obama, Barack', 'Sanders, Bernard', 'Warren, Elizabeth', 'Trump, Donald J', 'Patient Protection and Affordable Care Act (2010)', 'Liberalism (US Politics)']",This article is part of David Leonhardt’s newsletter. You can sign up here to receive it each weekday.,OpEd,Opinion,Op-Ed
What You Get for $1.5 Million,"A 1928 house in Los Angeles; a midcentury home in Charlottesville, Va.; and a modernist house in Austin, Tex.",2019-01-30T14:00:26+0000,,1,"['Austin (Tex)', 'Charlottesville (Va)', 'Los Angeles (Calif)', 'Real Estate and Housing (Residential)']","A 1928 house in Los Angeles; a midcentury home in Charlottesville, Va.; and a modernist house in Austin, Tex.",Real Estate,Real Estate,Slideshow
"$1.5 Million Homes in California, Virginia and Texas","A 1928 house in Los Angeles, a midcentury home in Charlottesville and a modernist house in Austin.",2019-01-30T14:01:30+0000,By Julie Lasky,1,"['Real Estate and Housing (Residential)', 'Austin (Tex)', 'Charlottesville (Va)', 'Los Angeles (Calif)']","Set amid the French Tudor and Mediterranean revival houses of the Wilshire Vista district, this home is east of Beverly Hills and west of downtown Los Angeles. The Miracle Mile neighborhood, with cultural institutions like the Los Angeles County Museum of Art, is to the north. The restaurants of Little Ethiopia and popular cafes of Pico Boulevard are a few blocks away.",RealEstate,Real Estate,News
Searching for the Genetic Underpinnings of Morning Persons and Night Owls,Researchers identified hundreds of gene variations that may be connected to when people go to bed.,2019-01-30T14:12:16+0000,By Veronique Greenwood,1,"['Sleep', 'Genetics and Heredity', 'Biorhythms', 'Mental Health and Disorders', 'Nature Communications (Journal)', 'Jones, Samuel E', 'Weedon, Michael', 'your-feed-science']","Early to bed and early to rise is a maxim that’s easy to follow for some people, and devilishly hard for others.",Science,Health,News
"The Teachers’ Strike May Be Over, but Fights Are Simmering",Wednesday: The push to tamp down charter schools; concerns about bias in policing; and a Rams ‘rap’,2019-01-30T14:19:33+0000,By Jill Cowan,1,[],Good morning.,National,U.S.,briefing
"Fyre Festival, Theranos and Our Never-Ending ‘Scam Season’","The conditions that produced Billy McFarland, Anna Delvey and Elizabeth Holmes show no signs of abating.",2019-01-30T14:47:30+0000,By Amanda Hess,1,"['Frauds and Swindling', 'Social Media', 'Holmes, Elizabeth (1984- )', 'McFarland, Billy (1991- )', 'Fyre (Movie)', 'Fyre Fraud (Movie)', 'Sorokin, Anna (Anna Delvey)', 'Theranos Inc', 'Entrepreneurship', 'Millennial Generation', 'Youth', 'The Inventor: Out for Blood in Silicon Valley (Movie)']","I started noticing it a few years ago: Seemingly every young person on the internet was selling something. Not in the way that we’re all selling ourselves now, cultivating our personal brands on social media. They were selling actual stuff. Shipping hoverboards from China and unloading them in their American high schools. Running parody Twitter accounts that fed into viral ad networks. Posting sponsored content on Instagram for pocket money and freebies.",Culture,Arts,News
"For Innovation at the Grammys, Look at the Best Music Video Category",The music awards have failed to recognize boundary-pushing black performers. But this year there’s a welcome surprise in a less-heralded competition.,2019-01-30T15:00:04+0000,By Jon Caramanica,1,"['Grammy Awards', 'Video Recordings, Downloads and Streaming', 'Blacks', 'Black People', 'Pop and Rock Music', 'Rap and Hip-Hop', 'RECORDING ACADEMY', 'Glover, Donald', 'Jay-Z', 'Knowles, Beyonce', 'Monae, Janelle', 'Whack, Tierra', 'Lucas, Joyner (Rapper)', 'Apes**t (Song)', 'This Is America (Song)']","Another year, another persistent worry that the Grammy Awards will once again fail to recognize boundary-pushing black performers.",Arts&Leisure,Arts,News
