headline,abstract,pub date,original,person rank,keywords,lead paragraph,news desk,section name,type of material
"South Korea Raised Taxes in Bid for Growth. So Far, It’s Not Working.","In contrast to President Trump, President Moon Jae-in of South Korea has embraced a pro-labor program of higher wages and taxes. The early results have been discouraging.",2019-01-09T17:03:34+0000,By Michael Schuman,1,"['South Korea', 'Moon Jae-in', 'Economic Conditions and Trends', 'Taxation', 'Minimum Wage', 'Labor and Jobs', 'Politics and Government']","INCHEON, South Korea — As President Trump leads a drive to slash taxes and pare back regulation, one major economy is taking a different approach. ",Business,Business Day,News
Finding New Value in the Work of Anonymous Shutterbugs,"Museums, colleges and the art market are beginning to see amateur photographs as both collectibles and cultural artifacts.",2019-01-09T17:09:11+0000,By Scott Reyburn,1,"['Photography', 'Collectors and Collections', 'Museums', 'Swann Auction Galleries', 'Walther Collection Project Space', 'Metropolitan Museum of Art']",A woman in a tree. Water skiers. Factory machinery. An army officer. Niagara Falls. A séance. A disobedient dog. Nine nuns … The subjects are almost limitless.,Culture,Arts,News
"Artificial Sweeteners, Not Good, Not Bad","Sugar substitutes offered no health benefits, but they didn’t do any harm, either, a review of studies found.",2019-01-09T17:10:15+0000,By Nicholas Bakalar,1,['Artificial Sweeteners'],"Artificial sweeteners offer no health benefits, a large review of studies found. But it found no proof that they do any harm, either.",Well,Well,News
"Yes, That Water Tower Is Actually a Bar",The turret-shaped lounge sits atop the Williamsburg Hotel in Brooklyn. ,2019-01-09T17:13:31+0000,By Adriana Balsamo,1,"['Bars and Nightclubs', 'Hotels and Travel Lodgings', 'Williamsburg (Brooklyn, NY)']","Water towers are beloved fixtures of the New York skyline, inspiring urban myths and song lyrics (see: Beastie Boys and Bruce Springsteen). Five years ago, an artist even built a clandestine bar inside a water tower in Chelsea. Now, a tourist-friendly and Instagram-ready version has been erected in Brooklyn, on the rooftop of the new Williamsburg Hotel.",Styles,Style,News
Is Stunning an Animal Before Slaughter More Humane? Some Religious Leaders Say No,"Two regions of Belgium are banning kosher and halal slaughter, arguing that not using stunning is cruel. But Jewish and Muslim leaders say their traditions minimize an animal’s suffering.",2019-01-09T17:36:01+0000,By Karen Zraick,1,"['Animal Abuse, Rights and Welfare', 'Jews and Judaism', 'Muslims and Islam', 'Halal Foods and Products', 'Kosher Foods and Products', 'ANTI-SEMITISM', 'European Union', 'Europe', 'Belgium', 'Meat', 'Law and Legislation']","With the start of the new year, Belgium became the latest European country to ban traditional Jewish and Muslim animal slaughtering practices. The move was applauded by animal rights activists but condemned by religious leaders who see the ban as a threat to their communities.",Express,World,News
Jorge Ramos: Trump Is the Wall,It’s not just about a physical barrier. He wants to hang an “unwelcome” sign on a nation built by immigrants. ,2019-01-09T17:43:36+0000,By Jorge Ramos,1,"['Illegal Immigration', 'Border Barriers', 'Trump, Donald J', 'Immigration and Emigration', 'Race and Ethnicity', 'United States Politics and Government']",Donald Trump wants more than a wall.,OpEd,Opinion,Op-Ed
Lady Gaga and Bradley Cooper Wow National Board of Review Gala,"The “Star Is Born” team were a highlight at the annual New York awards ceremony, though politics and diversity were also center stage.",2019-01-09T17:45:14+0000,By Gabe Cohn,1,"['Movies', 'A Star Is Born (Movie)', 'Lady Gaga', 'Cooper, Bradley', 'Jenkins, Barry', 'Aduba, Uzo', 'Crazy Rich Asians (Movie)', 'Wu, Constance (1982- )', 'Yeoh, Michelle']","Even in a room dotted with Hollywood luminaries, the arrival of Lady Gaga and Bradley Cooper at a table at the National Board of Review awards gala Tuesday night caused a special kind of commotion.",Culture,Movies,News
A Shut Down Government Actually Costs More Than an Open One ,"Sending workers home, not collecting fees and not paying bills on time all come with a cost, which escalates every day President Trump and Congress fail to reach a deal to reopen federal agencies.",2019-01-09T17:49:27+0000,By Jim Tankersley,1,"['Federal Budget (US)', 'Government Contracts and Procurement', 'Shutdowns (Institutional)', 'United States Politics and Government', 'National Parks, Monuments and Seashores', 'Trump, Donald J']","A federal government shutdown might seem like a great way to save money: When agencies aren’t open, they aren’t spending tax dollars. But history shows us that closing the government actually costs more than keeping it open.",Washington,U.S.,News
"‘The Aspern Papers’ Review: A Dead Poet’s Society, Once Removed",Vanessa Redgrave is a reason to see this otherwise woeful version of the Henry James novella.,2019-01-09T17:58:24+0000,By Manohla Dargis,1,"['Movies', 'The Aspern Papers (Movie)', 'Landais, Julien', 'Redgrave, Vanessa', 'Meyers, Jonathan Rhys', 'Richardson, Joely']","Critics routinely complain about screen versions of literary works that take either too many liberties or too few. And then there are the flat-out misreadings and the uninteresting, mystifying interpretations, those adaptations that veer so far from the source material that you wonder what attracted the filmmakers in the first place: the chance to revisit or flip a classic or just the box-office potential of its fan base? Too bad that the best that can be said about the woeful movie version of the “The Aspern Papers,” based on the Henry James novella, is that it might send you running to the original.",Weekend,Movies,Review
"Asian-Australian Actors, Overlooked at Home, Flourish in Hollywood","Chris Pang, Jordan Rodrigues and Natasha Liu Bordizzo are a few of the actors seizing opportunities in Hollywood after “Crazy Rich Asians” became a hit.",2019-01-09T18:00:07+0000,By Isabella Kwai,1,"['Pang, Chris (1984- )', 'Minorities', 'ACTORS AND ACTRESSES', 'Australia', 'Movies', 'Los Angeles (Calif)', 'Crazy Rich Asians (Movie)']","MELBOURNE, Australia — They’ve found a home in Hollywood, appearing in some of the biggest films and TV shows of the year. But on a balmy December evening, a group of young Asian-Australian actors were relaxing together in a place where they’re rarely recognized: the country where they grew up.",Foreign,World,News
Why Fighting Fake News With the Facts Might Not Be Enough,"“Down to Earth,” by Bruno Latour, and “The Misinformation Age,” by Cailin O’Connor and James Owen Weatherall, help us think through an era in which the idea of truth has become a political football.",2019-01-09T18:13:02+0000,By Jennifer Szalai,1,"['Down to Earth, Politics in the New Climatic Regime (Book)', 'The Misinformation Age: How False Beliefs Spread (Book)', 'Books and Literature', 'Latour, Bruno', 'Weatherall, James Owen', 'Rumors and Misinformation', ""O'Connor, Cailin""]","“Alternative facts”: The term manages to be tedious, ridiculous and perilous at once — a real sign of the times. For anyone who doesn’t remember, Kellyanne Conway introduced it in early 2017 to defend the White House’s falsehoods about attendance numbers at Donald Trump’s inauguration the week before. There she was on “Meet the Press,” serenely chiding an exasperated Chuck Todd for being “overly dramatic” as he repeatedly tried to get her to concede that lying to the American public was bad.",Culture,Books,Review
"Alex Lilly Keeps Her Cool, and Her Complexity on ‘2% Milk’","The singer and songwriter, who performs in the Bird and the Bee, builds convoluted synth-pop songs that tell real stories on her debut album.",2019-01-09T18:13:21+0000,By Jon Pareles,1,"['Pop and Rock Music', 'Bird and the Bee (Music Group)', 'Lilly, Alex', '2% Milk (Album)']","Through heartache, rejection, workplace harassment and pervasive disillusionment, Alex Lilly’s songs keep their cool on her debut album, “2% Milk.” Her voice is supple and relaxed; she often sounds like a smile is tugging at the corners of her mouth. And she brings a wry, analytical skepticism even to matters of the heart. In “Boomerang,” about giving an ex another chance, she sings, “I’ve tried to find someone new/Believe me though it’s hard to, they’re all worse than you.”",Culture,Arts,Review
"With a Tough-on-Crime D.A. Stepping Down, Will Queens Turn to a Reformer?","After 27 years in office, Richard A. Brown announced he will not seek re-election, unleashing the first competitive race in decades in a rapidly changing borough.",2019-01-09T18:24:45+0000,By Jan Ransom,2,"['Elections, District Attorneys', 'Bail', 'Criminal Justice', 'District Attorneys', 'Marijuana', 'Queens (NYC)', 'Brown, Richard A', 'Cuomo, Mario M', 'Krasner, Larry (1961- )', 'False Arrests, Convictions and Imprisonments', 'Police Brutality, Misconduct and Shootings', 'Crowley, Joseph', 'Gianaris, Michael N', 'Grasso, George A', 'Katz, Melinda R', 'Lindsay, John V', 'Ocasio-Cortez, Alexandria', 'Vallone, Peter F Jr']",[What you need to know to start the day: Get New York Today in your inbox.],Metro,New York,News
"To Cover China, There’s No Substitute for WeChat","Li Yuan conducts much of her work on the WeChat mobile app, including spotting trends — and prodding sources to get back to her.",2019-01-09T18:30:22+0000,,1,"['China', 'WeChat (Mobile App)', 'News and News Media', 'Politics and Government', 'Mobile Applications', 'Censorship', 'Instant Messaging', 'Surveillance of Citizens by Government', 'Social Media', 'Mobile Commerce and Payments', 'Alipay', 'Alibaba Group Holding Ltd', 'Tencent Holdings Ltd', 'Weibo Corporation', 'TikTok (ByteDance)']","How do New York Times journalists use technology in their jobs and in their personal lives? Li Yuan, a technology columnist in Hong Kong, discussed the tech she’s using.",Business,Technology,News
‘Touch Me Not’ Review: Our Bodies Examined,"Adina Pintilie’s debut feature, winner of the Golden Bear in Berlin last year, lays bare the philosophical complications of carnality.",2019-01-09T18:34:24+0000,By A.O. Scott,2,"['Movies', 'Touch Me Not (Movie)', 'Benson, Laura (Actor)', 'LEMARQUIS, TOMAS', 'Pintilie, Adina']","“I’ve never told you what this is about,” Adina Pintilie says at the beginning of “Touch Me Not.” The target of the confession is vague; it’s possible to imagine that her words are addressed to a lover, a friend, a parent or the viewer, who will be further challenged to interpret what follows.",Weekend,Movies,Review
A Wedding in Washington. Or Not. (But Maybe.),"Complications continue for couples who have plans, or did have plans, to marry in the capital since the partial government shutdown.",2019-01-09T18:37:20+0000,By Tammy La Gorce,3,"['Marriages', 'Shutdowns (Institutional)', 'Law and Legislation', 'Bowser, Muriel E']","Paula Cantos and David Damon got engaged in June and are aiming to be married Jan. 18 in Washington. It will be an outdoor ceremony near the Capitol Building. Odds are good the union will be legal, but as of today no one is willing to guarantee that.",Society,Fashion & Style,News
Police Say Alternative for Germany Embellished Lawmaker’s Assault,"After reviewing video of the attack, the authorities said that Frank Magnitz suffered injuries when he fell to the ground after being hit once, but that no one hit him with an object or kicked him.",2019-01-09T18:39:06+0000,By Christopher F. Schuetze,1,"['Assaults', 'Politics and Government', 'Alternative for Germany', 'Magnitz, Frank', 'Germany']","BERLIN — Two days after a right-wing politician was assaulted in Germany, drawing international attention, the authorities on Wednesday said that several elements of the account given by his political party appeared to be false.",Foreign,World,News
‘The Sopranos’ 20th Anniversary: Here’s Your Complete Guide to Rewatching It,"New to the series? Already a fan? Our spoiler-light guide offers several different watching strategies, based on your commitment level.",2019-01-09T18:39:47+0000,By Noel Murray,1,"['Television', 'The Sopranos (TV Program)', 'Home Box Office', 'Chase, David (1945- )', 'Falco, Edie', 'Gandolfini, James', 'Imperioli, Michael']","On Jan. 10, 1999, a mobster walked into a psychiatrist’s office. What happened next — over the course of eight years — was a television revolution. By the time the writer and producer David Chase brought “The Sopranos” to a close on June 10, 2007, he had helped establish HBO as a cultural force and make literary symbolism, cinematic style, long-form storytelling and complicated antiheroes the norm for high-end TV dramas.",Culture,Arts,News
Congress Summons Mnuchin to Explain Russian Sanctions Removal,"The Treasury secretary will speak in a classified session about his plan to end sanctions on companies controlled by Oleg Deripaska, a Kremlin ally.",2019-01-09T18:54:50+0000,By Alan Rappeport and Kenneth P. Vogel,1,"['Russian Interference in 2016 US Elections and Ties to Trump Associates', 'Mnuchin, Steven T', 'Deripaska, Oleg V', 'Russia', 'Politics and Government', 'Embargoes and Sanctions']","WASHINGTON — House Democrats have summoned Steven Mnuchin, the Treasury secretary, to Congress on Thursday to deliver a classified briefing about the Trump administration’s plans to end sanctions on companies linked to the billionaire Russian oligarch Oleg V. Deripaska.",Washington,U.S.,News
Supreme Court Weighs Core Questions of Precedent and States’ Rights,"In a case on whether states may be sued in the courts of other states, the justices considered whether to overrule a 40-year-old precedent.",2019-01-09T18:55:13+0000,By Adam Liptak,1,"['Suits and Litigation (Civil)', 'States (US)', 'Supreme Court (US)', 'ALITO, SAMUEL A JR', 'Ginsburg, Ruth Bader', 'Kavanaugh, Brett M', 'Roberts, John G Jr', 'California', 'Nevada']","WASHINGTON — A long-running dispute between a Nevada man and California tax authorities made its third appearance at the Supreme Court on Wednesday, prompting spirited arguments about the power of precedent and the limits of state sovereignty.",Washington,U.S.,News
Trump Again Warns He May Declare National Emergency to Build Wall,The president faces the urgent task of persuading wavering Senate Republicans that he could still come to an accord with Democrats.,2019-01-09T18:58:07+0000,By Michael Tackett,1,"['Trump, Donald J', 'Border Barriers', 'Shutdowns (Institutional)', 'Democratic Party', 'Republican Party', 'House of Representatives', 'Senate', 'Immigration and Emigration', 'Illegal Immigration']",WASHINGTON — President Trump warned on Wednesday that he reserved the option of declaring a national emergency to build his border wall without congressional approval.,Washington,U.S.,News
"Anne Frank’s Diary, in Graphic Form, Reveals Its Humor",Ari Folman and David Polonsky’s graphic novel adaptation of the famous diary brings out new and vibrant aspects of Anne’s voice.,2019-01-09T19:00:07+0000,By Ruth Franklin,1,"['Books and Literature', 'Holocaust and the Nazi Era', 'Frank, Anne', 'ANNE FRANK: THE DIARY OF A YOUNG GIRL (BOOK)', 'The Diary of Anne Frank (Book)', ""Anne Frank's Diary: The Graphic Adaptation (Book)"", 'Folman, Ari', 'Polonsky, David']",ANNE FRANK’S DIARY The Graphic Adaptation Adapted by Ari Folman Illustrated by David Polonsky 149 pp. Pantheon Books. $24.95.,BookReview,Books,Review
Victims of Abuse by Religious Order Priests Say Their Claims Fall Through the Cracks,"Religious orders include the Jesuits, Franciscans and Augustinians. But when a priest in an order is accused of sexual abuse, the abused say they are treated like second-class victims.",2019-01-09T19:01:42+0000,By Jack Healy,1,"['Roman Catholic Church', 'Sex Crimes', 'Child Abuse and Neglect', 'Priests', 'Private and Sectarian Schools', 'Chicago (Ill)', 'Illinois']","When Larry Antonsen decided to report a priest who sexually abused him during high school, he believed the Archdiocese of Chicago was the right place to go.",National,U.S.,News
Woman and 2 Children Die in Nepal Menstruation Hut,"The three were the latest victims of a centuries-old tradition of banishing menstruating women and girls from their family homes, despite Nepal’s criminalizing the practice last year.",2019-01-09T19:06:45+0000,By Bhadra Sharma and Kai Schultz,1,"['Menstruation', 'Women and Girls', ""Women's Rights"", 'Nepal']","KATHMANDU, Nepal — When Amba Bohara’s period came this week, she followed a familiar routine in western Nepal. Considered impure in her village because she was menstruating, Ms. Bohara barricaded herself in a tiny hut, built a fire and braced for an icy winter night with her two young children.",Foreign,World,News
Fed Ready to Pause on Interest Rate Increases,"Fed minutes and comments by officials signal that the central bank will not raise rates at its next meeting, in January, and is unlikely to do so at the following meeting, in March.",2019-01-09T19:15:45+0000,By Binyamin Appelbaum,1,"['Federal Reserve System', 'Interest Rates', 'Labor and Jobs', 'Bullard, James B', 'Evans, Charles L', 'Powell, Jerome H', 'Rosengren, Eric S']","WASHINGTON — A pair of influential Federal Reserve officials said Wednesday that the central bank should pause to assess economic conditions before considering additional interest rate increases, reinforcing the message delivered last week by the Fed chairman, Jerome H. Powell.",Business,Business Day,News
Avoiding San Francisco’s Errors,The president of the New York City Economic Development Corporation discusses how his city is “proving to be the anti-Silicon Valley.”,2019-01-09T19:16:17+0000,,1,"['Affordable Housing', 'New York City', 'San Francisco (Calif)', 'Economic Development Corp']",To the Editor:,Letters,Opinion,Letter
Jeff Bezos of Amazon and MacKenzie Bezos Plan to Divorce,"The financial details of the split are sure to be complicated, though the world’s richest man and his wife of 25 years vow to “remain cherished friends.”",2019-01-09T19:19:11+0000,By Laura M. Holson,1,"['Bezos, Jeffrey P', 'Bezos, MacKenzie', 'Divorce, Separations and Annulments', 'AMAZON.COM INC']",The Amazon founder Jeff Bezos and the novelist MacKenzie Bezos announced on Twitter on Wednesday that they are getting divorced after 25 years of marriage.,Express,Business Day,News
"U.S. Shutdown, Brexit, South Korea: Your Thursday Briefing",Let us help you start your day.,2019-01-09T19:26:29+0000,By Alisha Haridasani Gupta,1,[],(Want to get this briefing by email? Here’s the sign-up.) ,NYTNow,Briefing,briefing
Stopping the Vaping Trend,A national youth ambassador for the Campaign for Tobacco-Free Kids calls for a ban on flavored e-cigarettes.,2019-01-09T19:39:54+0000,,1,"['E-Cigarettes', 'Teenagers and Adolescence']",To the Editor:,Letters,Opinion,Letter
How to Choose the Best Clay Mask for Your Skin,"The earthy ingredient takes a more sophisticated turn in a number of new facial remedies, from melting creams to sheet masks.",2019-01-09T19:53:14+0000,By Kari Molvar,1,"['Skin', 'Masks', 'Clay', 'Beauty (Concept)']","Clay might not be the most high-tech beauty ingredient — the fine, earthy sediment has been used in facial remedies for centuries — but it’s one of the most efficient. When used in a paste or scrub, it is particularly adept at temporarily removing “surface oil and bacteria,” says the New York City dermatologist Rachel Nazarian, and can lead to a cleaner, brighter-looking complexion. Yet, slathering on clay is not always pleasant: The mineral-rich substance has the texture of thick mud, is messy to apply and often becomes dry and flaky when spread on the face. But there is a better way. The latest wave of clay treatments come in innovative new formats — from soft creams to sheet masks to customizable powders — that can help clear out pores with minimal irritation (and frustration). Here, four tips for choosing the best mask for your skin type and schedule.",TStyle,T Magazine,News
Video Shows Police Officers Beating Men on Manhattan Street in Wild Melee,"The officers pummeled a man in the chaotic confrontation, which has prompted an Internal Affairs investigation about whether excessive force was used, the police said.",2019-01-09T19:53:53+0000,By Ali Winston,1,"['Police Department (NYC)', 'Washington Heights (Manhattan, NY)', 'Police Brutality, Misconduct and Shootings']",[What you need to know to start the day: Get New York Today in your inbox.],Metro,New York,News
Round and Round We Go,"More setbacks on carbon emissions and more back-and-forth in the courts. But, you can help the environment with a quick spin.",2019-01-09T19:54:02+0000,By John Schwartz and Tik Root,1,['Global Warming'],Welcome to the Climate Fwd: newsletter. The New York Times climate team emails readers once a week with stories and insights about climate change. Sign up here to get it in your inbox.,Climate,Climate,News
"John Lasseter, Ousted From Pixar in #MeToo Wave, Finds New Hollywood Home","Mr. Lasseter, who resigned from Disney in June after complaints about unwanted touching, will build Skydance Animation. One women’s advocacy group, Time’s Up, blasted the move.",2019-01-09T19:56:41+0000,By Brooks Barnes,1,"['Lasseter, John', 'Ellison, David (1983- )', 'Skydance Productions LLC', 'ANIMATED FILMS', 'Sexual Harassment', '#MeToo Movement', 'Pixar Animation Studios']","LOS ANGELES — John Lasseter, the Pixar co-founder who was forced to resign from the Walt Disney Company in June after complaints about unwanted touching in the workplace, has become one of the first men toppled in the #MeToo era to find a new Hollywood perch.",Business,Business Day,News
Behind the Cover: Beauty and the Beasts,"For this issue, a look at the extravagant splendor of the animal kingdom that is making scientists rethink evolution.",2019-01-09T20:00:03+0000,,1,['Design'],,Magazine,Magazine,News
Bolsonaro Pulls Brazil From U.N. Migration Accord,"The decision may signal that Latin America’s largest nation, the destination for thousands of Venezuelan migrants in recent months, may adopt a harder line on immigration.",2019-01-09T20:00:59+0000,By Ernesto Londoño,1,"['Immigration and Emigration', 'United Nations', 'Bolsonaro, Jair (1955- )', 'Brazil', 'Venezuela', 'Politics and Government']","RIO DE JANEIRO — President Jair Bolsonaro of Brazil said Wednesday that his government would no longer be a party to a United Nations migration accord signed last month, arguing that “not just anyone can come into our home.”",Foreign,World,News
"Carlos Sánchez, 83, Dies; Embodied Colombian Coffee as Juan Valdez","Mr. Sánchez played Valdez, a humble but hard-working farmer and one of the world’s most recognizable pitchmen, from 1969 until 2006.",2019-01-09T20:04:00+0000,By Daniel E. Slotnik,1,"['Sanchez, Carlos (1935-2018)', 'Coffee', 'Colombia', 'ADVERTISING AND MARKETING', 'Deaths (Obituaries)', 'ACTORS AND ACTRESSES']","Carlos Sánchez, who for nearly four decades played Juan Valdez, the embodiment of Colombian coffee and one of the most recognizable pitchmen in the world, died on Dec. 29 in Medellín. He was 83.",Obits,Obituaries,Obituary (Obit)
Wakanda for Oscar?,Director Ryan Coogler and his female department heads helped bring “Black Panther” to life. Will they get the credit they’re due?,2019-01-09T20:06:52+0000,By Kyle Buchanan,2,"['Movies', 'Coogler, Ryan', 'Black Panther (Movie)', 'Morrison, Rachel (1978- )', 'Jordan, Michael B', 'Academy Awards (Oscars)', 'Carter, Ruth E', 'Beachler, Hannah']","On a Thursday evening in October, as the Oscar campaign for “Black Panther” began to unfurl, Kathleen Kennedy took the microphone in a packed room of award voters. The Lucasfilm president had volunteered to host a reception for “Black Panther” at the London hotel in West Hollywood, and her eyes alighted on the 32-year-old director Ryan Coogler.",Culture,Movies,News
CES 2019: It’s the Year of Virtual Assistants and 5G ,"A visual tour of the world’s most important tech conference offers a window into the year’s trends, including next-generation wireless networks and the invasion of A.I. ",2019-01-09T20:11:38+0000,By Brian X. Chen,1,"['Computers and the Internet', 'Automobiles', 'Driverless and Semiautonomous Vehicles', 'Wireless Communications', 'Home Automation and Smart Homes', 'International Consumer Electronics Show', 'Conventions, Fairs and Trade Shows', 'Artificial Intelligence', 'Apple Inc', 'AMAZON.COM INC', 'Google Inc', 'Cue, Eddy']",LAS VEGAS — The show must go on. ,Business,Technology,News
"In Seattle, Creating Community by Collecting Art and Artists","Shaun Kardinal has a budget and a home filled with original works. For him, reaching out to artists and keeping his ears open have led to deals.",2019-01-09T20:25:15+0000,By Paulette Perhach,1,"['Art', 'Kardinal, Shaun', 'Social Media', 'Seattle (Wash)', 'Collectors and Collections']","SEATTLE — Shaun Kardinal, 36, doesn’t know where he’d fit another piece of art in his one-bedroom apartment, which is bursting already with more than 100 works.",Weekend,Arts,News
"Tom Steyer, Billionaire Impeachment Activist, Won’t Run Against Trump","Mr. Steyer, the California billionaire, said on Wednesday that he would not seek the White House in 2020 and would instead focus on impeaching the president.",2019-01-09T21:00:17+0000,By Alexander Burns,1,"['Steyer, Thomas F', 'Presidential Election of 2020', 'Democratic Party', 'Political Advertising', 'Trump, Donald J', 'Impeachment', 'United States Politics and Government']","Tom Steyer, the California billionaire who has crusaded for President Trump’s impeachment, said on Wednesday that he would not join the pack of Democrats running for president in 2020 and would instead redouble his efforts to topple Mr. Trump before the election.",Politics,U.S.,News
High Times Has Some Glossy New Competition,Print is dying but magazines about marijuana are thriving. ,2019-01-09T21:06:29+0000,By Max Berlinger,1,"['Marijuana', 'Magazines', 'High Times']","The cover of Gossamer’s debut issue features a mouthwatering image of orange juice being poured into a glass dotted with beads of condensation. Inside there’s an article about books as home décor status items, a Q. and A. with the writer and director Janicza Bravo, and a fashion spread featuring the clothing lines of Rosetta Getty and Gabriela Hearst. ",Styles,Style,News
Edie Falco and David Chase on ‘The Sopranos’,"Twenty years after the series debuted, the star and creator talk about how the show changed television. Oh, and about that ending. ...",2019-01-09T21:16:58+0000,"By Leslye Davis, Jeremy Egner, Emily Rhyne and Shane O'Neill",1,"['The Sopranos (TV Program)', 'Falco, Edie', 'Chase, David (1945- )', 'Television', 'Cable Television']","Twenty years after the series debuted, the star and creator talk about how the show changed television. Oh, and about that ending. ...",,Arts,Video
"Dennis Johnson, 80, Creator of a Rediscovered Minimalist Score, Dies","Mr. Johnson’s 1959 composition “November,” a six-hour work for piano, was a landmark in the Minimalist movement, but it went unheard for 50 years.",2019-01-09T21:30:07+0000,By Allan Kozinn,2,"['Johnson, Dennis (1938-2018)', 'Deaths (Obituaries)', 'Classical Music', 'Mathematics', 'November (Musical Work)']","Dennis Johnson, a composer who in 1959 wrote a trailblazing Minimalist work, a six-hour piano meditation of repeated notes and long pauses that went unheard for 50 years before being rediscovered, died on Dec. 20 in Morgan Hill, Calif. He was 80.",Obits,Obituaries,Obituary (Obit)
"A Newsletter About Money, Sex, Power and Hair",Won’t you sign up? You must!,2019-01-09T21:44:30+0000,,1,"['your-feed-selfcare', 'Newsletters']","“Wait —” is a weekly newsletter that brings you fresh and frisky updates on things you 100% want to know. Please! Come and take a little journey with us, into a the silly or the serious.",Styles,Style,News
Los Angeles Teachers’ Union Postpones Strike Over Legal Questions,"The union and school district did not appear to be any closer to an agreement over teacher pay, class sizes and additional school staff.",2019-01-09T21:52:13+0000,By Jennifer Medina,1,"['Education (K-12)', 'Strikes', 'Organized Labor', 'Teachers and School Employees', 'Los Angeles (Calif)']","LOS ANGELES — The Los Angeles teachers’ union on Wednesday postponed a districtwide strike until Monday, after questions about whether a court could delay the strike arose on the day before some 30,000 teachers were expected to walk off the job.",National,U.S.,News
"Overlooked No More: Laura de Force Gordon, Suffragist, Journalist and Lawyer","Gordon was speaking from experience when, in 1893, she described in a speech how “society has sneered at learned women.” She spent decades trying to change that.",2019-01-09T21:59:06+0000,,1,"['Gordon, Laura de Force (1838-1907)', 'Legal Profession', ""Women's Rights"", 'Speeches and Statements', 'Newspapers', 'Biographical Information']","Since 1851, obituaries in The New York Times have been dominated by white men. With Overlooked, we’re adding the stories of remarkable people whose deaths went unreported in The Times.",Obits,Obituaries,Obituary (Obit)
"Carmen Ejogo Reads ‘What the Sea Took Away, a Daughter Restores’","On this week’s Modern Love podcast, the “True Detective” actor reads an essay about the redemptive power of storytelling.",2019-01-09T22:01:38+0000,,1,"['Love (Emotion)', 'Podcasts', 'True Detective (TV Program)', 'Modern Love (Times Column)']","On this week’s podcast, the actor Carmen Ejogo reads “What the Sea Took Away, a Daughter Restores,” an essay about a young woman’s decision to rewrite the narrative surrounding her father’s disappearance.",Styles,Style,News
The Government Shutdown Was the Longest Ever. Here’s the History.,The roots of Washington’s budget dysfunction date to the 1970s. Here’s a look at past shutdowns and how they led to today’s.,2019-01-09T22:07:49+0000,"By Mihir Zaveri, Guilbert Gates and Karen Zraick",1,"['Politics and Government', 'Trump, Donald J']",The roots of Washington’s budget dysfunction date to the 1970s. Here’s a look at past shutdowns and how they led to today’s.,U.S.,U.S.,Interactive Feature
‘The Upside’ Review: A Billionaire and His Buddy Find Reasons to Be Cheerful,A warm vibe between Kevin Hart and Bryan Cranston sweetens the stereotypes in this remake of the French odd-couple comedy “The Intouchables.”,2019-01-09T22:12:43+0000,By Jeannette Catsoulis,1,"['Movies', 'Hart, Kevin', 'Cranston, Bryan', 'Burger, Neil', 'The Upside (Movie)']","What a difference a cast makes. If the director Neil Burger’s decision to have Bryan Cranston and Kevin Hart play the leads in the odd-couple comedy “The Upside” — a remake of the 2012 French film “The Intouchables” — doesn’t erase the original’s sins, it blurs them just enough.",Weekend,Movies,Review
"In an Ancient Nun’s Teeth, Blue Paint — and Clues to Medieval Life","A rare blue pigment, discovered in the fossilized plaque of a German nun, hints at a broader role for women in the production of religious texts.",2019-01-09T22:18:21+0000,By Steph Yin,2,"['Teeth and Dentistry', 'Women and Girls', 'Middle Ages (Historical Period)', 'ARCHAEOLOGY AND ANTHROPOLOGY', 'Books and Literature', 'Nuns', 'Ohio State University', 'Science Advances (Journal)', 'Germany']","Anita Radini, an archaeologist at the University of York, in England, spends a lot of time looking at tartar. Really old tartar.",Science,Science,News
Rwanda Cracks Down on Skin Bleaching Agents by Seizing Cosmetics,"Pointing to the chemicals’ harmful health effects, the country has begun enforcing its ban on bleaching agents, especially hydroquinone and mercury.",2019-01-09T22:22:07+0000,By Sandra E. Garcia,1,"['Cosmetics and Toiletries', 'Rwanda', 'Skin', 'AFRICA']","Skin bleaching is a billion-dollar industry in predominantly black countries, but some governments want that to change.",Express,World,News
Watch the Feet,Mariaa Randall performs a segment of “Footwork/Technique” — part of First Nations Dialogues — showcasing aboriginal footwork from Australia.,2019-01-09T22:27:16+0000,By Gia Kourlas,1,"['Indigenous Australians', 'Dancing', 'Randall, Mariaa', 'Footwork/Technique (Dance)']","#SpeakingInDance is a weekly visual exploration of dance on Instagram. Watch the video from our most recent post below, and follow us at @nytimes.",Culture,Arts,News
"The Making of Craig Green’s Neon-Bright Fall Collection, in Pictures",We sent the designer an instant camera and asked him to document the lead-up to his most recent show.,2019-01-09T22:33:14+0000,,1,"['London (England)', 'Green, Craig']","One of the most prominent materials in the British designer Craig Green’s fall 2019 collection, which he showed this week in London, was a thin glossy plastic akin to the polyethylene of a trash bag. It came in a range of vivid neon hues — highlighter yellow, shocking pink, radioactive green — and was used for slim-fitting pants and tops with billowing extensions and abstract hoods. Green had been concerned with “ideas of tradition and craft,” he explained backstage: There were “a lot of medieval techniques that we attempted to make lighter or used in a way that you’re not meant to.” Elsewhere in the collection, he experimented with tassels and crochet. While Green, who founded his brand in 2012, is best known for his utilitarian work-wear-inspired silhouettes, these handmade elements added softness and even a little romance. “Emotion doesn’t mean weakness,” he said. “It can also mean strength.”",TStyle,T Magazine,News
